epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7129,1.709,3.93518,1.51054,1.24483,0,0.76146,0.63681,0.69166,0.56617,0.7298,0.5512,0.59509,0.33829,1.95832,2.58787,1.29285,1.18996,0,0.0033,0.0033,0.0703
2,142.196,1.72521,3.20258,1.29021,1.17461,0,0.72776,0.62724,0.67873,0.53607,0.69657,0.56583,0.60372,0.3723,2.01767,2.452,1.2938,1.117,0,0.00656766,0.00656766,0.0402343
3,292.967,1.80265,3.13448,1.33172,1.16974,0,0.85939,0.57771,0.667,0.50909,0.81302,0.52007,0.59477,0.34188,2.13337,2.49053,1.36853,1.1066,0,0.00976933,0.00976933,0.0101027
4,377.934,1.83865,3.11946,1.35264,1.15159,0,0.79737,0.6055,0.68108,0.52847,0.75281,0.51952,0.59241,0.35072,2.08255,2.3419,1.40252,1.13227,0,0.009703,0.009703,0.009703
5,556.209,1.84929,3.00022,1.35319,1.15493,0,0.73522,0.61591,0.66672,0.49965,0.69637,0.54808,0.57751,0.3247,2.05163,2.29787,1.3057,1.10497,0,0.009604,0.009604,0.009604
6,640.435,1.84724,3.11122,1.34942,1.14738,0,0.75366,0.60886,0.66845,0.51076,0.71381,0.54636,0.59254,0.34697,2.06332,2.34141,1.29059,1.12416,0,0.009505,0.009505,0.009505
7,837.281,1.85436,2.94938,1.32733,1.13831,0,0.79524,0.60464,0.67519,0.50842,0.71587,0.52745,0.57328,0.33033,2.12357,2.35031,1.35174,1.09193,0,0.009406,0.009406,0.009406
8,924.079,1.83073,2.99228,1.32045,1.13504,0,0.75605,0.60825,0.66986,0.50605,0.68661,0.54913,0.58362,0.34084,2.07938,2.27677,1.30271,1.12822,0,0.009307,0.009307,0.009307
9,1071.64,1.82469,2.87676,1.30358,1.12372,0,0.76016,0.60094,0.67604,0.50516,0.69608,0.54063,0.58285,0.33264,2.1308,2.3319,1.32005,1.09126,0,0.009208,0.009208,0.009208
10,1145.78,1.79413,2.86218,1.27922,1.11626,0,0.76057,0.60703,0.66646,0.50442,0.73923,0.54416,0.58979,0.34964,2.12988,2.29762,1.37132,1.11139,0,0.009109,0.009109,0.009109
